날짜,종가,전일비,시가,고가,저가,거래량,등락
2021.04.02,3360,10,3375,3385,3325,366456,1
2021.04.01,3350,50,3400,3420,3345,836813,0
2021.03.31,3400,30,3380,3410,3350,411084,1
2021.03.30,3370,10,3410,3420,3350,485258,0
2021.03.29,3380,35,3350,3395,3330,621069,1
2021.03.26,3345,60,3310,3350,3300,612861,1
2021.03.25,3285,25,3245,3300,3240,1014554,1
2021.03.24,3260,5,3230,3260,3215,271176,1
2021.03.23,3255,10,3260,3305,3235,493636,1
2021.03.22,3245,15,3225,3250,3205,192778,1
2021.03.19,3230,5,3170,3230,3155,563555,1
2021.03.18,3225,35,3240,3250,3205,205221,1
2021.03.17,3190,55,3240,3240,3170,295563,0
2021.03.16,3245,10,3255,3265,3215,345773,1
2021.03.15,3235,45,3200,3250,3160,431773,1
2021.03.12,3190,100,3125,3190,3125,261994,1
2021.03.11,3090,80,3000,3110,3000,148412,1
2021.03.10,3010,65,3125,3125,3010,189681,0
2021.03.09,3075,15,3055,3075,2975,250861,1
2021.03.08,3060,40,3140,3145,3060,151030,0
2021.03.05,3100,25,3095,3110,3035,219093,0
2021.03.04,3125,10,3150,3160,3095,258782,0
2021.03.03,3135,30,3105,3140,3075,162436,1
2021.03.02,3105,15,3165,3185,3075,211595,0
2021.02.26,3120,90,3130,3150,3090,266736,0
2021.02.25,3210,70,3200,3210,3160,208646,1
2021.02.24,3140,135,3275,3295,3130,798910,0
2021.02.23,3275,25,3235,3295,3200,469424,1
2021.02.22,3250,45,3300,3360,3245,465673,0
2021.02.19,3295,70,3200,3295,3155,654221,1
2021.02.18,3225,25,3220,3270,3220,380665,0
2021.02.17,3250,10,3240,3255,3215,438126,1
2021.02.16,3240,20,3235,3240,3205,467440,1
2021.02.15,3220,20,3220,3235,3210,593251,1
2021.02.10,3200,20,3180,3200,3135,319909,1
2021.02.09,3180,15,3165,3220,3155,1141217,1
2021.02.08,3165,15,3150,3205,3135,429376,1
2021.02.05,3150,15,3225,3225,3105,589959,0
2021.02.04,3165,65,3270,3270,3135,3637188,0
2021.02.03,3230,110,3150,3230,3135,782285,1
2021.02.02,3120,10,3165,3165,3075,684410,1
2021.02.01,3110,130,2975,3110,2925,571646,1
2021.01.29,2980,120,3125,3125,2935,736836,0
2021.01.28,3100,60,3050,3150,3050,478481,0
2021.01.27,3160,30,3180,3220,3140,468469,0
2021.01.26,3190,65,3260,3260,3170,556630,0
2021.01.25,3255,0,3300,3300,3225,651729,0
2021.01.22,3255,35,3225,3280,3185,765327,1
2021.01.21,3220,10,3260,3260,3200,495731,1
2021.01.20,3210,20,3240,3270,3145,659327,1
2021.01.19,3190,105,3150,3195,3110,844881,1
2021.01.18,3085,20,3060,3140,3030,726754,0
2021.01.15,3105,75,3185,3195,3095,403244,0
2021.01.14,3180,35,3140,3180,3100,245729,1
2021.01.13,3145,20,3185,3185,3120,573239,0
2021.01.12,3165,30,3140,3175,3060,760579,1
2021.01.11,3135,15,3215,3230,3060,1442945,0
2021.01.08,3150,30,3140,3160,3105,1027963,1
2021.01.07,3120,5,3115,3150,3095,1129130,1
2021.01.06,3115,60,3115,3120,3020,919437,1
2021.01.05,3055,120,2945,3060,2930,987840,1
2021.01.04,2935,75,2900,2950,2840,859908,1
2020.12.30,2860,45,2815,2870,2800,451113,1
2020.12.29,2815,60,2775,2815,2770,297958,1
2020.12.28,2755,45,2805,2815,2745,402416,0
2020.12.24,2800,30,2810,2845,2795,598059,1
2020.12.23,2770,20,2795,2810,2730,259809,0
2020.12.22,2790,85,2850,2850,2780,444783,0
2020.12.21,2875,30,2865,2880,2805,290711,1
2020.12.18,2845,40,2825,2860,2805,393294,1
2020.12.17,2805,20,2820,2820,2765,228230,0
2020.12.16,2825,20,2830,2835,2805,244083,1
2020.12.15,2805,45,2840,2840,2775,451186,0
2020.12.14,2850,60,2885,2885,2835,572995,0
2020.12.11,2910,25,2900,2925,2850,856760,1
2020.12.10,2885,120,2745,2895,2720,1012686,1
2020.12.09,2765,90,2680,2785,2670,502477,1
2020.12.08,2675,35,2725,2725,2655,465623,0
2020.12.07,2710,0,2740,2745,2675,600899,0
2020.12.04,2710,105,2650,2710,2610,802310,1
2020.12.03,2605,25,2600,2605,2560,190861,1
2020.12.02,2580,15,2575,2580,2550,156077,1
2020.12.01,2565,25,2560,2565,2535,187280,1
2020.11.30,2540,60,2605,2615,2540,281572,0
2020.11.27,2600,40,2575,2600,2560,164392,1
2020.11.26,2560,15,2575,2575,2530,205742,0
2020.11.25,2575,35,2570,2605,2520,530456,1
2020.11.24,2540,30,2535,2540,2510,373812,1
2020.11.23,2510,15,2495,2515,2475,226513,1
2020.11.20,2495,15,2500,2500,2480,124035,1
2020.11.19,2480,20,2515,2515,2465,130099,0
2020.11.18,2500,25,2485,2505,2470,164497,1
2020.11.17,2475,10,2495,2510,2470,347845,1
2020.11.16,2465,50,2420,2480,2410,268612,1
2020.11.13,2415,5,2405,2425,2385,142007,0
2020.11.12,2420,35,2450,2450,2410,163925,0
2020.11.11,2455,30,2415,2455,2400,148776,1
2020.11.10,2425,50,2400,2430,2380,227277,1
2020.11.09,2375,45,2340,2380,2330,217414,1
2020.11.06,2330,5,2340,2365,2320,77357,0
2020.11.05,2335,30,2315,2335,2305,151658,1
2020.11.04,2305,10,2335,2340,2295,186363,0
2020.11.03,2315,35,2285,2330,2285,53672,1
2020.11.02,2280,10,2265,2290,2265,25580,1
2020.10.30,2270,5,2280,2315,2250,83230,0
2020.10.29,2275,50,2280,2285,2250,43489,0
2020.10.28,2325,50,2260,2325,2250,54702,1
2020.10.27,2275,10,2255,2290,2250,38861,0
2020.10.26,2285,40,2335,2335,2285,89238,0
2020.10.23,2325,0,2325,2330,2295,97262,0
2020.10.22,2325,5,2320,2335,2310,59477,1
2020.10.21,2320,5,2315,2325,2295,37325,1
2020.10.20,2315,15,2300,2315,2265,54412,1
2020.10.19,2300,5,2305,2315,2295,48826,0
2020.10.16,2305,25,2280,2305,2260,56413,1
2020.10.15,2280,5,2270,2285,2240,36559,1
2020.10.14,2275,35,2310,2310,2265,18622,0
2020.10.13,2310,5,2320,2320,2285,42281,0
2020.10.12,2315,10,2330,2330,2305,60329,1
2020.10.08,2305,5,2315,2320,2295,41916,1
2020.10.07,2300,10,2280,2305,2265,5137,1
2020.10.06,2290,10,2300,2315,2275,19694,0
2020.10.05,2300,35,2270,2300,2260,54105,1
2020.09.29,2265,35,2255,2270,2250,43662,1
2020.09.28,2230,40,2225,2235,2195,23110,1
2020.09.25,2190,0,2195,2205,2170,31028,0
2020.09.24,2190,85,2235,2240,2175,140597,0
2020.09.23,2275,30,2320,2320,2255,35125,0
2020.09.22,2305,55,2355,2355,2295,83789,0
2020.09.21,2360,45,2410,2410,2350,103723,0
2020.09.18,2405,30,2385,2405,2375,53719,1
2020.09.17,2375,25,2400,2405,2370,64021,0
2020.09.16,2400,10,2410,2420,2395,77671,0
2020.09.15,2410,20,2445,2445,2400,51087,0
2020.09.14,2430,15,2395,2435,2395,148096,1
2020.09.11,2415,15,2420,2420,2370,101620,0
2020.09.10,2430,5,2450,2450,2425,38232,1
2020.09.09,2425,25,2425,2440,2415,76839,0
2020.09.08,2450,20,2500,2500,2450,112051,0
2020.09.07,2470,50,2440,2500,2430,245328,1
2020.09.04,2420,30,2370,2420,2370,94029,0
2020.09.03,2450,10,2465,2475,2440,153837,0
2020.09.02,2460,0,2475,2475,2435,100360,0
2020.09.01,2460,80,2400,2460,2400,194851,1
2020.08.31,2380,25,2420,2450,2380,142246,0
2020.08.28,2405,75,2355,2410,2350,87046,1
2020.08.27,2330,60,2375,2375,2325,111339,0
2020.08.26,2390,15,2385,2400,2345,104809,1
2020.08.25,2375,45,2345,2380,2345,65314,1
2020.08.24,2330,5,2325,2340,2285,85386,1
2020.08.21,2325,25,2315,2345,2295,65804,1
2020.08.20,2300,105,2395,2395,2280,145149,0
2020.08.19,2405,30,2380,2415,2380,117479,1
2020.08.18,2375,145,2520,2520,2370,241617,0
2020.08.14,2520,10,2555,2565,2495,218655,0
2020.08.13,2530,20,2570,2580,2510,218969,0
2020.08.12,2550,5,2525,2550,2485,212252,1
2020.08.11,2545,60,2495,2550,2495,487470,1
2020.08.10,2485,20,2475,2485,2445,189946,1
2020.08.07,2465,20,2460,2470,2435,172221,1
2020.08.06,2445,15,2440,2470,2425,369277,1
2020.08.05,2430,5,2440,2440,2405,187826,1
2020.08.04,2425,75,2370,2450,2370,331078,1
2020.08.03,2350,5,2355,2355,2330,111865,0
2020.07.31,2355,5,2360,2365,2335,54931,1
2020.07.30,2350,10,2370,2380,2345,28232,0
2020.07.29,2360,0,2355,2360,2335,38117,0
2020.07.28,2360,0,2360,2380,2340,44045,0
2020.07.27,2360,0,2375,2385,2350,56183,0
2020.07.24,2360,15,2360,2390,2355,176030,0
2020.07.23,2375,30,2415,2415,2350,131487,0
2020.07.22,2405,5,2400,2430,2380,139110,1
2020.07.21,2400,5,2405,2405,2380,117429,0
2020.07.20,2405,20,2390,2410,2355,191198,1
2020.07.17,2385,10,2400,2410,2370,76681,0
2020.07.16,2395,15,2385,2410,2370,163580,1
2020.07.15,2380,30,2365,2410,2365,278742,1
2020.07.14,2350,10,2345,2350,2315,37286,0
2020.07.13,2360,60,2320,2360,2300,94555,1
2020.07.10,2300,40,2340,2340,2290,137055,0
2020.07.09,2340,20,2330,2340,2315,42763,1
2020.07.08,2320,15,2305,2330,2305,16354,1
2020.07.07,2305,30,2340,2340,2305,54984,0
2020.07.06,2335,20,2315,2335,2290,78529,1
2020.07.03,2315,45,2290,2315,2285,29685,1
2020.07.02,2270,15,2265,2280,2260,13727,1
2020.07.01,2255,5,2270,2290,2235,19089,1
2020.06.30,2250,25,2245,2275,2240,33524,1
2020.06.29,2225,45,2230,2235,2205,121612,0
2020.06.26,2270,0,2295,2295,2250,26113,0
2020.06.25,2270,45,2290,2290,2260,83227,0
2020.06.24,2315,20,2315,2325,2300,60003,1
2020.06.23,2295,35,2340,2340,2275,52936,0
2020.06.22,2330,20,2350,2400,2320,63290,1
2020.06.19,2310,50,2285,2310,2245,41292,1
2020.06.18,2260,0,2260,2280,2250,23339,0
2020.06.17,2260,0,2250,2285,2215,47987,0
2020.06.16,2260,110,2190,2270,2190,65168,1
2020.06.15,2150,135,2260,2270,2145,173580,0
2020.06.12,2285,85,2245,2295,2245,124174,0
2020.06.11,2370,55,2410,2415,2355,60263,0
2020.06.10,2425,5,2425,2435,2405,82146,0
2020.06.09,2430,0,2440,2465,2400,124216,0
2020.06.08,2430,25,2495,2495,2425,139208,0
2020.06.05,2455,40,2440,2455,2410,63002,1
2020.06.04,2415,40,2490,2495,2405,94618,0
2020.06.03,2455,70,2405,2465,2405,284019,1
2020.06.02,2385,45,2350,2400,2335,166825,1
2020.06.01,2340,20,2330,2350,2315,101928,1
2020.05.29,2320,30,2270,2335,2250,109804,1
2020.05.28,2290,50,2370,2370,2230,193709,0
2020.05.27,2340,45,2295,2340,2290,59730,1
2020.05.26,2295,75,2235,2315,2230,220794,1
2020.05.25,2220,15,2220,2220,2190,44686,1
2020.05.22,2205,20,2230,2240,2190,43282,0
2020.05.21,2225,5,2240,2250,2220,59493,0
2020.05.20,2230,10,2205,2235,2200,30930,1
2020.05.19,2220,65,2190,2220,2190,43191,1
2020.05.18,2155,20,2150,2165,2125,49266,1
2020.05.15,2135,20,2125,2150,2105,15934,1
2020.05.14,2115,30,2130,2135,2105,20468,0
2020.05.13,2145,5,2115,2145,2110,42341,0
2020.05.12,2150,40,2190,2190,2120,48386,0
2020.05.11,2190,20,2220,2220,2180,61645,0
2020.05.08,2210,5,2220,2235,2205,67540,1
2020.05.07,2205,0,2215,2220,2185,32971,0
2020.05.06,2205,35,2190,2205,2170,33297,1
2020.05.04,2170,60,2205,2205,2165,65955,0
2020.04.29,2230,40,2215,2235,2195,112521,1
2020.04.28,2190,25,2180,2190,2140,30600,0
2020.04.27,2200,40,2175,2205,2165,102770,1
2020.04.24,2160,60,2200,2200,2150,36682,0
2020.04.23,2220,5,2230,2230,2195,106116,0
2020.04.22,2225,70,2120,2225,2080,76504,1
2020.04.21,2155,10,2185,2205,2065,131127,0
2020.04.20,2165,20,2150,2215,2125,131396,1
2020.04.17,2145,45,2120,2165,2120,156180,1
2020.04.16,2100,5,2070,2105,2030,30670,1
2020.04.14,2095,55,2060,2105,2050,135263,1
2020.04.13,2040,15,2070,2085,2030,72856,0
2020.04.10,2055,25,2035,2065,2005,133755,1
2020.04.09,2030,40,2015,2035,1985,259291,1
2020.04.08,1990,15,1955,2030,1950,110030,1
2020.04.07,1975,35,1995,1995,1940,238521,1
2020.04.06,1940,40,1910,1945,1895,156415,1
2020.04.03,1900,5,1925,1925,1865,51167,0
2020.04.02,1905,115,1805,1905,1770,141249,1
2020.04.01,1790,75,1875,1895,1790,97057,0
2020.03.31,1865,90,1820,1930,1810,182354,1
2020.03.30,1775,25,1695,1780,1690,38432,1
2020.03.27,1750,10,1800,1810,1690,71978,1
2020.03.26,1740,25,1725,1790,1680,148390,1
2020.03.25,1715,135,1635,1720,1630,138111,1
2020.03.24,1580,110,1500,1580,1485,52235,1
2020.03.23,1470,125,1470,1505,1450,113643,0
2020.03.20,1595,205,1450,1595,1425,88735,1
2020.03.19,1390,240,1640,1660,1385,255878,0
2020.03.18,1630,145,1785,1790,1630,48316,0
2020.03.17,1775,40,1700,1815,1700,59823,0
2020.03.16,1815,55,1895,1925,1815,129367,0
2020.03.13,1870,120,1805,1915,1755,182923,0
2020.03.12,1990,120,2095,2095,1960,143748,0
2020.03.11,2110,50,2170,2180,2100,77573,0
2020.03.10,2160,10,2135,2175,2130,155812,1
2020.03.09,2150,135,2240,2240,2150,198190,0
2020.03.06,2285,55,2325,2325,2270,166571,0
2020.03.05,2340,45,2315,2350,2300,123714,1
2020.03.04,2295,35,2270,2305,2265,51853,1
2020.03.03,2260,20,2285,2300,2250,29098,1
2020.03.02,2240,0,2250,2255,2210,74200,0
2020.02.28,2240,65,2260,2280,2220,80844,0
2020.02.27,2305,50,2345,2355,2305,54441,0
2020.02.26,2355,5,2310,2370,2305,37943,1
2020.02.25,2350,55,2280,2350,2280,92367,1
2020.02.24,2295,100,2340,2345,2295,155451,0
2020.02.21,2395,55,2425,2430,2380,98974,0
2020.02.20,2450,20,2485,2485,2445,100443,0
2020.02.19,2470,25,2515,2515,2455,48878,0
2020.02.18,2495,30,2520,2520,2490,67526,0
2020.02.17,2525,5,2535,2535,2500,24439,0
2020.02.14,2530,40,2570,2570,2520,221584,0
2020.02.13,2570,35,2615,2615,2570,78761,0
2020.02.12,2605,5,2595,2605,2580,33885,1
2020.02.11,2600,35,2565,2600,2565,50030,1
2020.02.10,2565,10,2550,2570,2545,23231,0
2020.02.07,2575,10,2585,2590,2555,30402,0
2020.02.06,2585,90,2515,2590,2515,34448,1
2020.02.05,2495,0,2520,2520,2485,80420,0
2020.02.04,2495,45,2450,2510,2450,80697,1
2020.02.03,2450,45,2450,2475,2410,117245,0
2020.01.31,2495,40,2545,2560,2490,84549,0
2020.01.30,2535,35,2585,2595,2525,29684,0
2020.01.29,2570,10,2575,2595,2550,81898,1
2020.01.28,2560,95,2575,2595,2545,374560,0
2020.01.23,2655,35,2680,2680,2640,142502,0
2020.01.22,2690,10,2680,2695,2680,33179,1
2020.01.21,2680,5,2680,2695,2665,80752,1
2020.01.20,2675,5,2670,2685,2665,286095,1
2020.01.17,2670,5,2675,2680,2655,32017,1
2020.01.16,2665,5,2670,2670,2655,12470,1
2020.01.15,2660,40,2630,2665,2625,99885,1
2020.01.14,2620,5,2630,2645,2615,67006,1
2020.01.13,2615,20,2580,2625,2580,61034,1
2020.01.10,2595,25,2575,2595,2560,33130,1
2020.01.09,2570,50,2550,2570,2550,51379,1
2020.01.08,2520,90,2600,2600,2505,109729,0
2020.01.07,2610,5,2615,2625,2600,28853,1
2020.01.06,2605,60,2660,2660,2590,78981,0
2020.01.03,2665,15,2680,2690,2665,101940,0
2020.01.02,2680,35,2715,2715,2675,89372,0
2019.12.30,2715,15,2705,2720,2695,39402,1
2019.12.27,2700,35,2685,2700,2680,59732,1
2019.12.26,2665,10,2660,2670,2660,48999,1
2019.12.24,2655,10,2665,2670,2645,43614,0
2019.12.23,2665,5,2680,2680,2650,17558,0
2019.12.20,2670,15,2670,2675,2655,36358,1
2019.12.19,2655,20,2640,2655,2640,10155,1
2019.12.18,2635,10,2635,2645,2625,75314,0
2019.12.17,2645,20,2665,2665,2630,41253,0
2019.12.16,2665,30,2695,2695,2660,69161,0
2019.12.13,2695,45,2675,2695,2675,66016,1
2019.12.12,2650,50,2610,2655,2610,57900,1
2019.12.11,2600,5,2590,2605,2585,14794,1
2019.12.10,2595,20,2580,2595,2570,53909,1
2019.12.09,2575,5,2585,2585,2565,13699,0
2019.12.06,2580,15,2570,2580,2565,22975,1
2019.12.05,2565,5,2570,2590,2555,76348,0
2019.12.04,2570,40,2590,2595,2565,20358,0
2019.12.03,2610,5,2585,2610,2555,64676,1
2019.12.02,2605,10,2620,2625,2600,70317,0
2019.11.29,2615,40,2665,2665,2610,95192,0
2019.11.28,2655,35,2685,2685,2650,85843,0
2019.11.27,2690,5,2710,2710,2685,39122,0
2019.11.26,2695,0,2700,2720,2690,69274,0
2019.11.25,2695,40,2660,2700,2655,73717,1
2019.11.22,2655,20,2635,2665,2635,4566,1
2019.11.21,2635,50,2675,2675,2625,87733,0
2019.11.20,2685,20,2700,2700,2670,80190,0
2019.11.19,2705,10,2715,2715,2685,53075,0
2019.11.18,2715,10,2740,2740,2705,62766,0
2019.11.15,2725,45,2685,2735,2680,86596,1
2019.11.14,2680,30,2720,2720,2670,112001,0
2019.11.13,2710,30,2745,2745,2710,46693,0
2019.11.12,2740,5,2745,2750,2720,24522,0
2019.11.11,2745,25,2775,2775,2730,14099,0
2019.11.08,2770,0,2770,2780,2745,60994,0
2019.11.07,2770,15,2770,2785,2770,48008,0
2019.11.06,2785,0,2790,2790,2765,109894,0
2019.11.05,2785,30,2760,2785,2745,37237,1
2019.11.04,2755,85,2695,2755,2695,136689,1
2019.11.01,2670,5,2665,2670,2655,29236,1
2019.10.31,2665,5,2685,2685,2665,58272,0
2019.10.30,2670,15,2665,2680,2655,63932,1
2019.10.29,2655,15,2670,2680,2655,111074,0
2019.10.28,2670,10,2670,2675,2655,10173,1
2019.10.25,2660,10,2675,2675,2640,76857,0
2019.10.24,2670,5,2675,2675,2645,86052,1
2019.10.23,2665,50,2700,2700,2660,42268,0
2019.10.22,2715,30,2690,2720,2690,86898,1
2019.10.21,2685,15,2705,2710,2680,26734,0
2019.10.18,2700,10,2715,2740,2700,167058,1
2019.10.17,2690,30,2720,2725,2680,29592,0
2019.10.16,2720,30,2710,2730,2705,42866,1
2019.10.15,2690,10,2700,2715,2690,25792,0
2019.10.14,2700,55,2670,2705,2665,46130,1
2019.10.11,2645,25,2635,2655,2630,17126,1
2019.10.10,2620,35,2640,2645,2605,13321,0
2019.10.08,2655,10,2645,2670,2640,54544,1
2019.10.07,2645,40,2660,2670,2630,22883,0
